frame	x1	y1	x2	y2	confidence	cluster
3	-0.1323	0.3354	-0.0964	0.424	0.4776	-1
14	-0.083	-0.3312	0.5	0.4949	0.6988	-1
15	-0.0738	-0.3287	0.5	0.4944	0.7888	-1
16	-0.0739	-0.3293	0.5	0.4944	0.7836	-1
47	0.4224	0.0796	0.4993	0.4914	0.7254	-1
48	0.3866	0.0227	0.4986	0.4931	0.7558	-1
49	0.3528	-0.002	0.4988	0.4943	0.4089	-1
50	0.3261	-0.0233	0.4999	0.4929	0.87	-1
51	0.3264	-0.023	0.4983	0.4926	0.8746	-1
52	0.3032	-0.0345	0.4986	0.4947	0.7637	-1
53	-0.1435	-0.3196	-0.0855	-0.2961	0.4468	-1
54	-0.1399	-0.322	-0.0829	-0.2978	0.4286	-1
57	0.305	-0.0526	0.4986	0.494	0.8044	-1
57	-0.0809	-0.3265	-0.034	-0.3037	0.5666	-1
58	0.3293	-0.0469	0.4982	0.4928	0.8007	-1
59	0.3492	-0.0316	0.4982	0.4928	0.6593	-1
60	0.3678	-0.0193	0.4983	0.4927	0.8229	-1
61	0.3678	-0.0193	0.4983	0.4928	0.814	-1
62	0.3865	-0.0025	0.4982	0.4935	0.6438	-1
63	0.0054	-0.3406	0.053	-0.3018	0.4966	-1
64	0.0121	-0.3339	0.054	-0.3013	0.6649	-1
72	0.3956	-0.0426	0.4981	0.4941	0.5632	-1
95	-0.1513	0.2669	-0.1162	0.3713	0.6259	-1
96	-0.1513	0.2667	-0.1162	0.3713	0.629	-1
97	-0.1392	0.2294	-0.1033	0.3356	0.5031	-1
109	-0.0634	0.1039	0.0746	0.2091	0.4742	-1
110	-0.0623	0.0884	0.0608	0.2061	0.7377	-1
111	-0.0624	0.0884	0.0601	0.2061	0.7214	-1
119	0.0877	-0.2668	0.4465	0.3936	0.4068	-1
160	-0.2166	-0.3394	0.0334	0.1223	0.5293	-1
161	-0.2166	-0.3396	0.0333	0.1224	0.4913	-1
162	-0.2222	-0.3459	0.032	0.121	0.7596	-1
163	-0.2254	-0.35	0.0284	0.119	0.6525	-1
164	-0.2309	-0.3521	0.0281	0.1197	0.5864	-1
189	0.326	-0.0192	0.4982	0.2642	0.4024	-1
190	0.2948	-0.0556	0.5	0.2209	0.6988	-1
191	0.2939	-0.0548	0.5	0.221	0.6853	-1
192	0.2434	-0.0882	0.5	0.1919	0.8705	-1
209	-0.4997	-0.0909	-0.3812	0.0315	0.657	-1
210	-0.5	-0.1351	-0.3603	-0.0045	0.8244	-1
211	-0.5	-0.1351	-0.3614	-0.0046	0.8238	-1
212	-0.5	-0.1683	-0.3525	-0.0433	0.8533	-1
213	-0.5	-0.1961	-0.3198	-0.0684	0.8205	-1
214	-0.4995	-0.2146	-0.2998	-0.0889	0.8495	-1
215	-0.4968	-0.2284	-0.2805	-0.1042	0.7899	-1
216	-0.4968	-0.2283	-0.2802	-0.1043	0.7964	-1
217	-0.4689	-0.239	-0.2586	-0.118	0.737	-1
218	-0.4478	-0.2427	-0.2327	-0.122	0.6139	-1
275	-0.2362	0.2504	0.0399	0.4938	0.8761	-1
276	-0.2357	0.2498	0.04	0.4936	0.8803	-1
277	-0.2442	0.1772	0.0647	0.4932	0.9175	-1
278	-0.2385	0.1153	0.0822	0.4931	0.9115	-1
279	-0.2218	0.0829	0.0983	0.4931	0.9137	-1
280	-0.2155	0.047	0.1148	0.4931	0.8939	-1
281	-0.2156	0.0466	0.1149	0.493	0.8878	-1
282	-0.2059	0.0226	0.1224	0.4925	0.8993	-1
283	-0.2004	0.0026	0.1296	0.4906	0.8311	-1
284	-0.1972	-0.0085	0.1291	0.4901	0.8253	-1
285	-0.2009	-0.0221	0.1237	0.491	0.8808	-1
286	-0.2002	-0.022	0.1239	0.4912	0.8942	-1
